,Symbol,Name,Title,Salary
0,SNDL,Mr. Andrew  Stordeur,Pres & COO,N/A
1,SNDL,Mr. James  Keough,Chief Financial Officer,N/A
2,SNDL,Mr. Ryan  Hellard,Chief Marketing & Product Officer,N/A
3,SNDL,Mr. Zachary Ryan George IV,CEO & Director,N/A
4,SNDL,Kristine JoAnn Dow,Gen. Counsel,N/A
5,SNDL,Frank Luke Fallwell,Director of Corp. Devel.,N/A
6,SNDL,Brian Dale Lundquist,Chief Supply Chain Officer,N/A
7,PLTR,Dr. Alexander C. Karp,"Co-Founder, CEO & Director",3.83M
8,PLTR,Mr. Stephen Andrew Cohen,"Co-Founder, Pres, Sec. & Director",2.23M
9,PLTR,Mr. Shyam  Sankar,COO & Exec. VP,611.52k
10,PLTR,Mr. Peter Andreas Thiel,Co-Founder & Chairman,N/A
11,PLTR,Mr. Joseph  Lonsdale,Co-Founder,N/A
12,PLTR,Mr. David A. Glazer,CFO & Treasurer,N/A
13,PLTR,Mr. Rodney  Nelson,Head of Investor Relations,N/A
14,PLTR,Mr. Ryan D. Taylor,Chief Legal & Bus. Affairs Officer,N/A
15,PLTR,Mr. David  MacNaughton,Pres of Palantir Canada,N/A
16,PLTR,Mr. Matthew A. Long,Gen. Counsel,N/A
17,RLLCF,N/A,N/A,N/A
18,TSNP,Mr. Brian M. Foote,Pres & Director,N/A
19,TSNP,Mr. Kevin J. Bartczak,Chief Financial Officer,N/A
20,TSNP,Mr. Adam  Wolfe,Chief Technology Officer,N/A
21,TSNP,Mr. Gayle  Coleman Esq.,Counsel,N/A
22,TSNP,Ms. Michele  Rivera,VP of Global Partnerships & Director,N/A
23,TSNP,Mr. Jeffrey  Hinshaw M.B.A.,Sec. & Director,N/A
24,RIOT,Mr. Jason  Les,CEO & Non Independent Exec. Director,84.67k
25,RIOT,Mr. Jeffrey G. McGonegal,Chief Financial Officer,341.44k
26,RIOT,Dr. Lyndal K. Hesterberg Ph.D.,Consultant,N/A
27,AAPL,Mr. Timothy D. Cook,CEO & Director,14.77M
28,AAPL,Mr. Luca  Maestri,CFO & Sr. VP,4.6M
29,AAPL,Mr. Jeffrey E. Williams,Chief Operating Officer,4.59M
30,AAPL,Ms. Katherine L. Adams,"Sr. VP, Gen. Counsel & Sec.",4.59M
31,AAPL,Ms. Deirdre  O'Brien,Sr. VP of People & Retail,4.61M
32,AAPL,Mr. Chris  Kondo,Sr. Director of Corp. Accounting,N/A
33,AAPL,Mr. James  Wilson,Chief Technology Officer,N/A
34,AAPL,Ms. Mary  Demby,Chief Information Officer,N/A
35,AAPL,Ms. Nancy  Paxton,Sr. Director of Investor Relations & Treasury,N/A
36,AAPL,Mr. Greg  Joswiak,Sr. VP of Worldwide Marketing,N/A
37,NIO,Mr. William  Li,"Founder, Chairman & CEO",N/A
38,NIO,Mr. Lihong  Qin,Pres & Director,N/A
39,NIO,Mr. Wei  Feng,Chief Financial Officer,N/A
40,NIO,Mr. Ganesh V. Iyer,MD of NIO U.S. & Global Chief Information Officer,N/A
41,NIO,Jade  Wei,Sr. Director of Investor Relations,N/A
42,NIO,Liu  Fang,Gen. Counsel,N/A
43,NIO,Mr. Feng  Shen,Exec. VP,N/A
44,NIO,Mr. Xin  Zhou,Exec. VP,N/A
45,NIO,Nick  Wang,VP & Head of Fin. of NIO Group,N/A
46,NIO,Mr. Stanley  Qu,VP of Fin.,N/A
